度胸兄弟,DIAVOLO,度胸兄弟- diavolo ''stepped by bug''(01042012)160x3challenge17,1,0,0,0.0,-24.7259940001383,1
度胸兄弟,DIAVOLO,【stepmania】diavolo,1133,0,6,1.0,-20.1913795341887,1
度胸兄弟,DIAVOLO,iidx19プレイ動画_diavolo,100,0,0,0.0,-24.329401383,1
度胸兄弟,DIAVOLO,"diavolo [normal, hyper and another]",402,1,0,0.0,-23.1196103498332,1
度胸兄弟,DIAVOLO,[itg simfile] diavolo,165,0,0,0.0,-24.0690137652175,1
度胸兄弟,DIAVOLO,djmax technika custom pattern - diavolo,146,0,0,0.0,-24.1451269480028,1
度胸兄弟,DIAVOLO,diavolo【pms】,285,0,0,0.0,-23.5883012334175,1
度胸兄弟,DIAVOLO,diavolo?,531,1,4,1.0,-22.6028529952063,1
度胸兄弟,DIAVOLO,beatmania iidx 19 lincle diavolo(h),158,0,0,0.0,-24.0970554525212,1
度胸兄弟,DIAVOLO,diavolo【bms】,7287,0,17,1.2352941,4.4543782189673,0
度胸兄弟,DIAVOLO,stairway to konami hq,220,0,1,5.0,-23.84868669372,1
度胸兄弟,DIAVOLO,でむおはビリビリな度胸兄弟はランダムと考えたようです,212,0,0,0.0,-23.8807342157552,1
度胸兄弟,DIAVOLO,"meet john doe: gary cooper, barbara stanwyck, walter brennan, gene lockhart (1941 movie)",427475,208,148,4.243243,1662.46261670106,0
度胸兄弟,DIAVOLO,part 1 - my man jeeves by pg wodehouse (chs 1-4),157464,85,83,2.7831326,602.641647767763,0
度胸兄弟,DIAVOLO,chapter 03 - my man jeeves by pg wodehouse,11176,5,7,3.857143,20.0237819184192,0
YOJI,DON'T WAKE ME FROM THE DREAM,yoji- dont wake me from the dream,12098,54,36,4.8333335,23.7143461901668,1
YOJI,DON'T WAKE ME FROM THE DREAM,yoji - don't wake me from the dream (2010 summer edition) hd012,11431,66,42,5.0,21.0445146486537,1
YOJI,DON'T WAKE ME FROM THE DREAM,beatmania iidx19 lincle don't wake me from the dream(2010 summer edition) (another),3244,6,5,5.0,-11.7359914050288,1
YOJI,DON'T WAKE ME FROM THE DREAM,yoji - dont wake me from the dream (groove mix),7280,18,32,4.84375,4.42635032128,1
