REDALiCE feat. Shihori,Express Emotion,【6.6.6】【 lisse 】 express emotion -redalice- feat. shihori,115,0,2,1.0,-24.2693118290175,1
REDALiCE feat. Shihori,Express Emotion,redalice feat. shihori - 04. express emotion 〔j-core〕,20,0,0,0.0,-24.64988005532,1
D.J.Amuro,F,[beatmania iidx 19 lincle location test] dj amuro - f,30570,19,30,4.866667,97.60417520633,0
D.J.Amuro,F,djamuro - f,684,1,1,5.0,-21.9899607044848,1
D.J.Amuro,F,beatmania iidx19 lincle f(hyper),25660,42,31,4.870968,77.97289835652,0
D.J.Amuro,F,f - djamuro,5278,0,1,5.0,-3.5901846623772,1
D.J.Amuro,F,[beatmaniaiidx 19th lincle] dj amuro - f (sph),87,0,0,0.0,-24.3814790467927,1
D.J.Amuro,F,[iidx 19 lincle] f - djamuro [音源],15178,35,33,4.878788,36.0412075961028,0
D.J.Amuro,F,f / djamuro (+オマケ付),1984,3,6,5.0,-16.7826403842048,1
D.J.Amuro,F,【iidx 19 lincle】 f - djamuro (高音質),656,3,2,5.0,-22.1021235154688,1
D.J.Amuro,F,"f [normal, hyper and another]",212,0,0,0.0,-23.8807342157552,1
D.J.Amuro,F,f [beatmania iidx19 lincle],1351,7,8,4.5,-19.3181464252983,1
D.J.Amuro,F,beatmania iidx19 lincle f(another),3127,3,7,5.0,-12.2045903152407,1
D.J.Amuro,F,[jubeat analyser] f,331,0,1,5.0,-23.4040291522863,1
D.J.Amuro,F,djamuro - 01. f 〔renaissance〕,42,2,0,0.0,-24.5617482439612,1
D.J.Amuro,F,iidx f by dj. amuro another,251,0,0,0.0,-23.7245027130383,1
D.J.Amuro,F,【stepmania】f【アナコン譜面】,193,0,0,0.0,-23.9568471515367,1
D.J.Amuro,F,iidx bms - f !,3126,1,1,5.0,-12.2085954504508,1
D.J.Amuro,F,f(h)s-random,31,0,0,0.0,-24.6058141329063,1
D.J.Amuro,F,f[normal] player:dj haya-e,11,0,0,0.0,-24.6859340167343,1
D.J.Amuro,F,【jubeat analyser】 f 【創作譜面】,197,0,0,0.0,-23.9408233672847,1
猫叉Master,Far east nightbird,猫叉master - さよなら世界 「far east nightbird ＬＯＮＧ」,50806,284,174,5.0,178.441849175341,1
猫叉Master,Far east nightbird,[beatmaniaiidx 19th lincle]猫叉master - far east nightbird (spa),172,0,0,0.0,-24.0409720914672,1
猫叉Master,Far east nightbird,beatmania iidx19 lincle far east nightbird(another),15227,20,15,5.0,36.2372955505393,0
猫叉Master,Far east nightbird,osu! redo - nekomata master - far east nightbird [another],824,1,5,5.0,-21.4291499023808,1
猫叉Master,Far east nightbird,stepmania - far east nightbird ( m & h ) - 猫叉master,719,0,1,5.0,-21.8497574957063,1
猫叉Master,Far east nightbird,osu! - nekomata master - far east nightbird [hyper] +hidden +flashlight,42,0,0,0.0,-24.5617482439612,1
猫叉Master,Far east nightbird,jubeat copious - far east nightbird ext,562,0,0,0.0,-22.4786716812252,1
猫叉Master,Far east nightbird,【beatmaniaiidx19 lincle】 far east nightbird(h),1700,5,4,5.0,-17.920199687,1
猫叉Master,Far east nightbird,【iidx】 far east nightbird dp[a],173,0,0,0.0,-24.0369661391807,1
猫叉Master,Far east nightbird,beatmaniaiidx19 lincle - far east nightbird [h],89,0,0,0.0,-24.3734670954743,1
猫叉Master,Far east nightbird,bloomin' feeling -world electronica mix- remixed by 猫叉master,2212,8,8,5.0,-15.8694046941552,1
猫叉Master,Far east nightbird,猫叉master+ - backdrops 「chain of pain ＬＯＮＧ」,9762,66,19,5.0,14.3633924741348,1
猫叉Master,Far east nightbird,far east nightbird hidden s,51,0,0,0.0,-24.5256943597183,1
猫叉Master,Far east nightbird,猫叉master+ - backdrops 「infinite cave ＬＯＮＧ」,11883,70,20,5.0,22.8537692532113,1
猫叉Master,Far east nightbird,[ indonesian osu! players ] hidden mod replays,288,1,4,5.0,-23.5762834711552,1
猫叉Master,Far east nightbird,[bemuri rg mixset 008] jungle party 01 (music game dj mixset),300,0,2,5.0,-23.528212447,1
猫叉Master,Far east nightbird,bahram attack-猫叉master remix-(a)☆10,114,0,0,0.0,-24.2733177973468,1
Five Hammer,fffff,fffff / five hammer,967,4,5,5.0,-20.8563273228087,1
Five Hammer,fffff,"ƒƒƒƒƒ, beatmania iidx 15 dj troopers, i♥iidx",843,4,0,0.0,-21.3530402827567,1
Five Hammer,fffff,bmiidx15 - fffff [h] - one hand,75,0,0,0.0,-24.4295507779375,1
Five Hammer,fffff,pop'n music 16 - [hard pf] fffff,5461,6,7,3.857143,-2.8573584546543,1
Five Hammer,fffff,iidx csdjt military splash unknown area: fffff,1073,0,3,4.0,-20.4317212288007,1
Five Hammer,fffff,fffff challenge,3162,5,6,4.3333335,-12.0644107571452,1
